title,description,ingredients,steps,dietary_tags,image_url
"Spaghetti Aglio e Olio","Classic Italian pasta with garlic, olive oil, and chili flakes.","Spaghetti,Garlic,Olive Oil,Chili Flakes,Parsley,Salt","1. Cook spaghetti until al dente. 2. Sauté garlic and chili in olive oil. 3. Toss with pasta and parsley.","[""vegetarian"",""dairy-free""]","https://example.com/images/aglioeolio.jpg"
"Chicken Caesar Salad","Crisp romaine lettuce with grilled chicken, croutons, and Caesar dressing.","Chicken Breast,Romaine Lettuce,Croutons,Parmesan,Olive Oil,Caesar Dressing","1. Grill chicken and slice. 2. Toss lettuce with dressing. 3. Add chicken, croutons, and Parmesan.","[""high-protein""]","https://example.com/images/caesarsalad.jpg"
"Vegan Tofu Stir-Fry","Tofu and vegetables cooked in soy sauce and sesame oil.","Tofu,Broccoli,Carrots,Bell Pepper,Soy Sauce,Garlic,Sesame Oil","1. Stir-fry tofu until golden. 2. Add vegetables and sauce. 3. Serve with rice.","[""vegan"",""gluten-free""]","https://example.com/images/tofustirfry.jpg"
"Beef Tacos","Mexican-style tacos with spiced beef and toppings.","Ground Beef,Taco Shells,Tomato,Lettuce,Cheddar,Onion,Garlic","1. Cook beef with spices. 2. Fill taco shells and top with veggies and cheese.","[""gluten-free""]","https://example.com/images/beeftacos.jpg"
"Avocado Toast","Toasted bread topped with smashed avocado and seasoning.","Bread,Avocado,Lemon Juice,Olive Oil,Chili Flakes,Salt,Pepper","1. Toast bread. 2. Mash avocado with lemon juice. 3. Spread and season.","[""vegetarian""]","https://example.com/images/avocadotoast.jpg"
"Tom Yum Soup","Spicy and sour Thai soup with shrimp and lemongrass.","Shrimp,Lemongrass,Galangal,Lime,Chili,Fish Sauce,Mushrooms","1. Boil broth with herbs. 2. Add shrimp and mushrooms. 3. Season with lime and chili.","[""seafood"",""spicy""]","https://example.com/images/tomyum.jpg"
"Margherita Pizza","Classic pizza with tomato sauce, mozzarella, and basil.","Pizza Dough,Tomato Sauce,Mozzarella,Basil,Olive Oil,Salt","1. Spread sauce over dough. 2. Add cheese and basil. 3. Bake until golden.","[""vegetarian""]","https://example.com/images/margheritapizza.jpg"
"Beef Stroganoff","Creamy beef and mushroom dish served with pasta.","Beef,Mushrooms,Onion,Sour Cream,Butter,Pasta","1. Cook beef and mushrooms. 2. Stir in sour cream. 3. Serve over pasta.","[""high-protein""]","https://example.com/images/beefstroganoff.jpg"
"Greek Salad","Fresh salad with feta, olives, and cucumber.","Cucumber,Tomato,Olives,Feta,Red Onion,Olive Oil,Oregano","1. Chop veggies. 2. Toss with olive oil and oregano. 3. Top with feta.","[""vegetarian"",""gluten-free""]","https://example.com/images/greeksalad.jpg"
"Banana Pancakes","Fluffy pancakes made with mashed bananas.","Banana,Flour,Milk,Egg,Baking Powder,Sugar,Butter","1. Mix ingredients. 2. Cook on skillet. 3. Serve warm with syrup.","[""vegetarian""]","https://example.com/images/bananapancakes.jpg"
"Butter Chicken","Creamy Indian chicken curry with tomato and spices.","Chicken,Tomato,Butter,Cream,Garlic,Ginger,Spices","1. Marinate chicken. 2. Cook in tomato-butter sauce. 3. Add cream and serve.","[""gluten-free""]","https://example.com/images/butterchicken.jpg"
"Garlic Fried Rice","Fragrant rice stir-fried with garlic and soy sauce.","Rice,Garlic,Soy Sauce,Spring Onion,Oil","1. Sauté garlic. 2. Add rice and soy sauce. 3. Stir-fry and garnish.","[""vegan""]","https://example.com/images/garlicfriedrice.jpg"
"Grilled Salmon","Simple grilled salmon with lemon and herbs.","Salmon,Lemon,Garlic,Olive Oil,Parsley,Salt,Pepper","1. Marinate salmon. 2. Grill until cooked. 3. Serve with lemon slices.","[""seafood"",""gluten-free""]","https://example.com/images/grilledsalmon.jpg"
"Caprese Salad","Italian salad with tomato, mozzarella, and basil.","Tomato,Mozzarella,Basil,Olive Oil,Balsamic Vinegar,Salt","1. Slice tomato and mozzarella. 2. Layer with basil. 3. Drizzle with oil and vinegar.","[""vegetarian""]","https://example.com/images/capresesalad.jpg"
"Shrimp Fried Rice","Quick fried rice with shrimp, egg, and peas.","Shrimp,Rice,Egg,Peas,Carrot,Soy Sauce,Garlic","1. Scramble egg. 2. Add shrimp and veggies. 3. Mix in rice and sauce.","[""seafood""]","https://example.com/images/shrimpfriedrice.jpg"
"Chocolate Brownies","Rich, fudgy chocolate brownies.","Flour,Cocoa Powder,Butter,Sugar,Egg,Chocolate Chips,Vanilla","1. Mix ingredients. 2. Bake until set. 3. Cool before cutting.","[""vegetarian""]","https://example.com/images/brownies.jpg"
"Pumpkin Soup","Smooth pumpkin soup with cream and spices.","Pumpkin,Onion,Garlic,Cream,Vegetable Broth,Nutmeg","1. Cook pumpkin and onion. 2. Blend with broth. 3. Stir in cream and season.","[""vegetarian"",""gluten-free""]","https://example.com/images/pumpkinsoup.jpg"
"Fish and Chips","Crispy battered fish with fries.","Fish,Potatoes,Flour,Egg,Oil,Salt,Vinegar","1. Coat fish in batter. 2. Deep-fry with fries. 3. Serve hot.","[""seafood""]","https://example.com/images/fishandchips.jpg"
"Chicken Fried Rice","Rice stir-fried with chicken, egg, and vegetables.","Chicken,Rice,Egg,Carrot,Peas,Soy Sauce,Garlic","1. Fry egg and chicken. 2. Add rice and veggies. 3. Toss with sauce.","[""high-protein""]","https://example.com/images/chickenfriedrice.jpg"
"Eggplant Parmesan","Baked eggplant layered with cheese and tomato sauce.","Eggplant,Tomato Sauce,Mozzarella,Parmesan,Breadcrumbs,Olive Oil","1. Bread and bake eggplant. 2. Layer with sauce and cheese. 3. Bake again.","[""vegetarian""]","https://example.com/images/eggplantparmesan.jpg"
"Pad Thai","Thai-style stir-fried noodles with tamarind sauce and peanuts.","Rice Noodles,Egg,Tofu,Bean Sprouts,Peanuts,Tamarind,Soy Sauce","1. Soak noodles. 2. Stir-fry with sauce and toppings. 3. Garnish with peanuts.","[""vegetarian"",""gluten-free""]","https://example.com/images/padthai.jpg"
"Beef Burger","Juicy grilled beef patty in a toasted bun.","Ground Beef,Burger Bun,Cheddar,Onion,Lettuce,Tomato,Ketchup","1. Grill patty. 2. Assemble burger with toppings. 3. Serve warm.","[]","https://example.com/images/beefburger.jpg"
"Vegetable Curry","Spicy coconut-based curry with mixed vegetables.","Potato,Carrot,Peas,Coconut Milk,Curry Paste,Garlic,Onion","1. Cook vegetables with curry paste. 2. Add coconut milk. 3. Simmer until thick.","[""vegan"",""gluten-free""]","https://example.com/images/vegetablecurry.jpg"
"Chicken Noodle Soup","Comforting chicken soup with noodles and vegetables.","Chicken,Noodles,Carrot,Celery,Garlic,Onion,Broth","1. Boil chicken and vegetables. 2. Add noodles. 3. Simmer until tender.","[""high-protein""]","https://example.com/images/chickennoodlesoup.jpg"
"Mushroom Risotto","Creamy risotto with mushrooms and Parmesan.","Arborio Rice,Mushrooms,Onion,Garlic,Parmesan,Butter,Broth","1. Cook onion and rice. 2. Add broth gradually. 3. Stir in mushrooms and cheese.","[""vegetarian"",""gluten-free""]","https://example.com/images/mushroomrisotto.jpg"
"Teriyaki Chicken","Glazed chicken in sweet-savory teriyaki sauce.","Chicken,Soy Sauce,Sugar,Garlic,Ginger,Oil,Sesame Seeds","1. Cook chicken. 2. Add sauce and reduce. 3. Garnish with sesame seeds.","[""high-protein""]","https://example.com/images/teriyakichicken.jpg"
"French Toast","Bread soaked in egg and milk, fried until golden.","Bread,Egg,Milk,Sugar,Butter,Cinnamon,Vanilla","1. Dip bread in mixture. 2. Fry until golden. 3. Serve with syrup.","[""vegetarian""]","https://example.com/images/frenchtoast.jpg"
"Cauliflower Soup","Smooth cauliflower soup with cream and garlic.","Cauliflower,Onion,Garlic,Cream,Butter,Broth","1. Cook cauliflower. 2. Blend with cream. 3. Season and serve.","[""vegetarian"",""gluten-free""]","https://example.com/images/cauliflowersoup.jpg"
"Chicken Wrap","Grilled chicken and veggies in a tortilla wrap.","Chicken,Tortilla,Lettuce,Tomato,Mayonnaise,Cheddar","1. Grill chicken. 2. Fill tortilla with ingredients. 3. Roll tightly.","[""high-protein""]","https://example.com/images/chickenwrap.jpg"
"Garlic Butter Shrimp","Juicy shrimp cooked in garlic butter sauce.","Shrimp,Garlic,Butter,Lemon,Parsley,Salt","1. Melt butter and sauté garlic. 2. Add shrimp. 3. Cook until pink.","[""seafood"",""gluten-free""]","https://example.com/images/garlicbuttershrimp.jpg"
"Avocado Smoothie","Creamy smoothie with avocado and milk.","Avocado,Milk,Honey,Ice,Lime Juice","1. Blend all ingredients. 2. Serve chilled.","[""vegetarian"",""gluten-free""]","https://example.com/images/avocadosmoothie.jpg"
"Beef Ramen","Japanese noodle soup with beef and soy broth.","Beef,Ramen Noodles,Soy Sauce,Garlic,Ginger,Spring Onion,Egg","1. Cook noodles and beef. 2. Add broth and soy sauce. 3. Serve hot.","[]","https://example.com/images/beeframen.jpg"
"Falafel Wrap","Crispy falafel with tahini sauce in a pita wrap.","Chickpeas,Garlic,Onion,Parsley,Cumin,Pita Bread,Tahini","1. Blend ingredients. 2. Fry falafel. 3. Wrap with tahini and salad.","[""vegan""]","https://example.com/images/falafelwrap.jpg"
"Tomato Soup","Classic tomato soup with basil and cream.","Tomato,Garlic,Onion,Basil,Cream,Butter","1. Cook tomato and onion. 2. Blend smooth. 3. Stir in cream.","[""vegetarian"",""gluten-free""]","https://example.com/images/tomatosoup.jpg"
"Grilled Cheese Sandwich","Golden, melted cheese sandwich.","Bread,Cheddar,Butter","1. Butter bread. 2. Grill with cheese inside. 3. Serve hot.","[""vegetarian""]","https://example.com/images/grilledcheese.jpg"
"Chicken Burrito Bowl","Rice bowl with grilled chicken, beans, and salsa.","Chicken,Rice,Beans,Corn,Tomato,Lettuce,Cheddar","1. Cook chicken. 2. Assemble all ingredients in a bowl. 3. Serve.","[""high-protein"",""gluten-free""]","https://example.com/images/burritobowl.jpg"
"Vegetable Stir-Fry","Mixed vegetables stir-fried in soy sauce.","Broccoli,Carrot,Bell Pepper,Garlic,Soy Sauce,Oil","1. Heat oil. 2. Add vegetables and sauce. 3. Stir-fry until crisp.","[""vegan""]","https://example.com/images/vegetablestirfry.jpg"
"Pesto Pasta","Pasta tossed in basil pesto sauce.","Pasta,Basil,Garlic,Parmesan,Olive Oil,Pine Nuts","1. Blend pesto. 2. Toss with pasta. 3. Serve warm.","[""vegetarian""]","https://example.com/images/pestopasta.jpg"
"Beef Lasagna","Layered pasta with beef, cheese, and tomato sauce.","Lasagna Sheets,Ground Beef,Tomato Sauce,Ricotta,Mozzarella,Parmesan","1. Layer sauce, pasta, and cheese. 2. Bake until bubbly.","[]","https://example.com/images/beeflasagna.jpg"
"Vegan Buddha Bowl","Nutritious bowl with quinoa, roasted veggies, and tahini sauce.","Quinoa,Chickpeas,Sweet Potato,Spinach,Avocado,Tahini","1. Roast veggies. 2. Assemble bowl. 3. Drizzle with tahini.","[""vegan"",""gluten-free""]","https://example.com/images/buddhabowl.jpg"
